FS_Method,Meta_Model,Best_n,R2,MSE,MAE,Selected_Features
RF,LinearRegression,2,0.7776283433870546,4701.627991981564,49.817148192104554,"['pred_RF_XGB_XGB_Top15', 'pred_RF_XGB_RF_Top15']"
RF,RandomForest,2,0.7499000749463607,5287.88977127325,54.34973897301586,"['pred_RF_XGB_XGB_Top15', 'pred_RF_XGB_RF_Top15']"
RF,XGBoost,10,0.7333790651722856,5637.19526817294,53.46847449536474,"['pred_RF_XGB_XGB_Top15', 'pred_RF_XGB_RF_Top15', 'pred_XGB_XGB_Top20', 'pred_RF_XGB_Top36', 'pred_RF_RF_Top15', 'pred_XGB_RF_Top14', 'pred_RF_XGB_XGB_Top17', 'pred_RFE_RF_XGB_Top35', 'pred_XGB_XGB_Top15', 'pred_RF_RF_Top16']"
RFE_RF,LinearRegression,5,0.7727170170405281,4805.468696234521,50.58417099230493,"['pred_RF_XGB_RF_Top15', 'pred_RF_XGB_Top36', 'pred_XGB_XGB_Top20', 'pred_RF_XGB_XGB_Top15', 'pred_RF_RF_Top15']"
RFE_RF,RandomForest,9,0.7420722699022241,5453.393900135077,54.95346036190476,"['pred_RF_XGB_XGB_Top17', 'pred_XGB_RF_Top14', 'pred_RF_XGB_RF_Top15', 'pred_RF_XGB_Top36', 'pred_XGB_XGB_Top20', 'pred_RF_XGB_XGB_Top15', 'pred_XGB_XGB_Top15', 'pred_RF_RF_Top15', 'pred_RFE_RF_XGB_Top35']"
RFE_RF,XGBoost,10,0.7239937305029602,5835.630414394029,55.03557677623884,"['pred_RF_XGB_XGB_Top17', 'pred_XGB_RF_Top14', 'pred_RF_XGB_RF_Top15', 'pred_RF_XGB_Top36', 'pred_XGB_XGB_Top20', 'pred_RF_RF_Top16', 'pred_RF_XGB_XGB_Top15', 'pred_XGB_XGB_Top15', 'pred_RF_RF_Top15', 'pred_RFE_RF_XGB_Top35']"
XGB,LinearRegression,4,0.7757766002524804,4740.779597397837,50.554667574813195,"['pred_RF_XGB_RF_Top15', 'pred_RF_RF_Top15', 'pred_XGB_XGB_Top15', 'pred_RF_XGB_XGB_Top15']"
XGB,RandomForest,9,0.740877790214721,5478.648913387028,54.93941562698413,"['pred_RF_XGB_RF_Top15', 'pred_RF_RF_Top15', 'pred_XGB_XGB_Top15', 'pred_RF_XGB_XGB_Top15', 'pred_XGB_XGB_Top20', 'pred_XGB_RF_Top14', 'pred_RF_XGB_Top36', 'pred_RF_XGB_XGB_Top17', 'pred_RFE_RF_XGB_Top35']"
XGB,XGBoost,10,0.742192420017914,5450.85355324118,53.61539292889094,"['pred_RF_XGB_RF_Top15', 'pred_RF_RF_Top15', 'pred_XGB_XGB_Top15', 'pred_RF_XGB_XGB_Top15', 'pred_XGB_XGB_Top20', 'pred_XGB_RF_Top14', 'pred_RF_XGB_Top36', 'pred_RF_XGB_XGB_Top17', 'pred_RFE_RF_XGB_Top35', 'pred_RF_RF_Top16']"
RF_XGB,LinearRegression,3,0.7770324342219234,4714.227363925515,49.792507075981895,"['pred_RF_XGB_RF_Top15', 'pred_RF_RF_Top15', 'pred_RF_XGB_XGB_Top15']"
RF_XGB,RandomForest,9,0.740846296450569,5479.314789449495,55.02311849047618,"['pred_RF_XGB_RF_Top15', 'pred_RF_RF_Top15', 'pred_RF_XGB_XGB_Top15', 'pred_XGB_XGB_Top20', 'pred_XGB_XGB_Top15', 'pred_RF_XGB_Top36', 'pred_XGB_RF_Top14', 'pred_RF_XGB_XGB_Top17', 'pred_RFE_RF_XGB_Top35']"
RF_XGB,XGBoost,10,0.7458954358594158,5372.560288711252,53.21063586818906,"['pred_RF_XGB_RF_Top15', 'pred_RF_RF_Top15', 'pred_RF_XGB_XGB_Top15', 'pred_XGB_XGB_Top20', 'pred_XGB_XGB_Top15', 'pred_RF_XGB_Top36', 'pred_XGB_RF_Top14', 'pred_RF_XGB_XGB_Top17', 'pred_RFE_RF_XGB_Top35', 'pred_RF_RF_Top16']"
