Stage,Model,Mean_R2,Std_R2,CV_Percent,Min_R2,Max_R2,Range_R2
Stage 1,XGB_XGB_Top10,0.6348687582935633,0.19095016231920856,30.077108036069593,0.150294223505132,0.8547787712696544,0.7044845477645224
Stage 1,RF_XGB_Top15,0.6088478583241608,0.16921625022246095,27.79286284889375,0.2735351006635614,0.8545563258752216,0.5810212252116602
Stage 1,RF_XGB_XGB_Top15,0.6720230396676973,0.12860516873617497,19.137017802212227,0.3865177401344107,0.8257173461904608,0.4391996060560501
Stage 1,RF_XGB_XGB_Top10,0.5956926690156047,0.22543673237853473,37.84446982553502,0.0054400850860648,0.7804111907925393,0.7749711057064745
Stage 1,RFE_RF_XGB_Top15,0.6271999613869406,0.1466127866498956,23.375764616708146,0.3015336856190339,0.8290906552478139,0.5275569696287801
Stage 2,FS_MetaModel_TopK10,0.6905585542979449,0.1705061522720215,24.691049181972165,0.3806692691860391,0.8699903490491766,0.4893210798631375
Stage 2,FS_MetaModel_TopK30,0.6634129371967715,0.19358074554144614,29.1795252530671,0.3555533395651451,0.8617548700926467,0.5062015305275016
Stage 2,FS_MetaModel_TopK30,0.6703896613867772,0.18419872935122367,27.476367844066633,0.3780431304917067,0.8728806606793729,0.4948375301876662
Stage 2,RandomAverage_TopK10,0.6875860476681597,0.16948029657516311,24.648594477728132,0.3460679639781832,0.8680058495243307,0.5219378855461475
Stage 2,RandomAverage_TopK20,0.6868647450684569,0.17229111390363316,25.0837031803782,0.3356137195719084,0.8594077865768709,0.5237940670049626
